0.00102	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_SGB99481	SGB99481
0.00085	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus	Paracoccus_SGB99491	SGB99491
0.0006	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	Candidatus_Accumulibacter	Candidatus_Accumulibacter_phosphatis	SGB12629
0.00494	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	GGB44498	GGB44498_SGB103071	SGB103071
0.04911	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	GGB75650	GGB75650_SGB103080	SGB103080
0.0583	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	GGB75672	GGB75672_SGB103056	SGB103056
0.34424	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Casimicrobiaceae	Casimicrobium	Casimicrobium_huifangae	SGB80960
0.01063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Burkholderiales_unclassified	Burkholderiales_unclassified_SGB103074	SGB103074
0.00534	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Sphaerotilus	Sphaerotilus_montanus	SGB61846
0.0008	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	Thiomonas	Thiomonas_arsenitoxydans	SGB13099
0.0074	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_caeni	SGB12718
0.00851	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_delafieldii	SGB12700
0.01228	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_sp_210_6	SGB61892
0.0867	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_sp_BoFeN1	SGB22471
0.12284	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax_temperans	SGB12690
0.33166	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Alicycliphilus	Alicycliphilus_SGB61891	SGB61891
0.02088	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Brachymonas	Brachymonas_chironomi	SGB32580
0.00444	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas_badia	SGB32643
0.12453	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas_denitrificans	SGB61890
0.77111	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	GGB40481	GGB40481_SGB57069	SGB57069
0.00476	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	GGB44403	GGB44403_SGB103000	SGB103000
0.01515	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	GGB44434	GGB44434_SGB61856	SGB61856
0.00588	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	GGB75632	GGB75632_SGB103050	SGB103050
0.00124	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Melaminivora	Melaminivora_jejuensis	SGB93690
0.03796	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia_oryzae	SGB22424
0.00026	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	Ottowia_sp_GY511	SGB88398
0.00319	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Simplicispira	Simplicispira_SGB61893	SGB61893
0.00425	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	GGB26464	GGB26464_SGB38629	SGB38629
0.00064	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	GGB65286	GGB65286_SGB88265	SGB88265
0.01199	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Laribacter	Laribacter_hongkongensis	SGB13091
0.00915	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Paralysiella	Paralysiella_testudinis	SGB94459
0.03513	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Rivicola	Rivicola_pingtungensis	SGB22509
0.06535	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Uruburuella	Uruburuella_suis	SGB30674
9,00E-05	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Vitreoscilla	Vitreoscilla_massiliensis	SGB30647
0.01144	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus	Azonexus_hydrophilus	SGB61967
0.00039	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas_agitata	SGB32903
4,00E-05	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Azonexaceae	Dechloromonas	Dechloromonas_sp_H13	SGB88250
0.00558	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	GGB44499	GGB44499_SGB61930	SGB61930
0.00322	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	GGB44548	GGB44548_SGB61987	SGB61987
0.00573	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclaceae_unclassified	Rhodocyclaceae_bacterium	SGB93682
0.00264	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera_phenylacetica	SGB12600
0.02696	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera	Thauera_terpenica	SGB12603
0.19016	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Zoogloea	Zoogloea_ramigera	SGB88266
